title_type,primary_title,genres,runtime_minutes,num_votes,average_rating
short,L'ascension d'un ballon,Short,,24,4.9
short,The Prince of Wales,"News,Short",,12,3.3
short,La passion,"Drama,Short",,11,3.8
short,Ambulance at the Accident,"Drama,Short",,60,3.8
short,La passion,"Drama,Short",,12,4.0
short,Cupid at the Washtub,"Comedy,Short",1.0,123,5.2
short,Figaro et l'auvergnat,"Comedy,Short",,24,3.7
short,The Bad Boy and Poor Old Grandpa,"Comedy,Short",,29,3.9
short,Seminary Girls,"Comedy,Short",1.0,894,5.7
short,"Barnum's Street Parade, Nos. 1, 2, and 3","Family,Short",,25,2.7
short,Cornell-Yale-Harvard Boat-Race,"News,Short,Sport",,24,4.5
short,Head of Procession Including Bluejackets,"Documentary,Short",1.0,84,4.3
short,Cortège du boeuf gras passant Place de la Concorde,"Documentary,Short",,26,4.3
short,Petit frère et petite soeur,"Documentary,Short",1.0,112,5.6
short,"A Chegada do Rebocador 'Liberal' ao Porto de Leixões e o Desembarque de Romeiros Que, por Mar, Vão ao Porto para a Romaria do Senhor de Matosinhos","Documentary,Short",,17,5.3
short,"Bayonet Exercise, Coldstream Guards","Documentary,Short",,12,4.8
short,"13th Infantry, U.S. Army: Full Dress Parade and Manoeuvering, Governors Island","Documentary,Short",,30,5.6
short,"Panorama pris du chemin de fer électrique, I","Documentary,Short",1.0,50,4.5
short,Le 'brennus',"Documentary,Short",,14,5.5
short,Les grandes manoeuvres belges,"Documentary,Short",,14,3.8
short,Am Alexander-Platz in Berlin,"Documentary,Short",,15,4.7
short,Am Wasserfall,"Documentary,Short",,14,3.8
short,The Haverstraw Tunnel,"Documentary,Short",1.0,56,5.1
short,Life Guards and Escort Arrivng at St. Paul's,"Documentary,Short",,15,3.2
short,National Lancers of Boston,"Documentary,Short",,21,4.1
short,Arab Exercising His Monkey,"Documentary,Short",,15,3.3
short,"Le Caire, un enterrement","Documentary,Short",1.0,85,5.1
short,The Dancing Skeleton,"Comedy,Horror,Short",1.0,177,5.8
short,Walking Greasy Pole,"Documentary,Short,Sport",,16,3.3
short,Crossing the Line,Short,,23,2.5
short,Pea-Hulling Machine,Short,,29,3.6
short,Agoust Family of Jugglers,Short,1.0,89,5.6
short,An Unwelcome Visitor,Short,,27,5.2
short,Segreto per vestirsi (con aiuto),Short,1.0,8,4.4
short,"Thiers, Mac-Mahon, Grévy, Carnot, Félix Faure",Short,1.0,92,4.8
short,Le grotte du diable,Short,,24,5.2
short,Battle of Santiago Bay,"Short,War",,44,4.5
